Symbol,11/6/2025 16:00:00,11/7/2025 16:00:00,11/10/2025 16:00:00,11/11/2025 16:00:00,11/12/2025 16:00:00,11/13/2025 16:00:00,11/14/2025 16:00:00,11/17/2025 16:00:00,11/18/2025 16:00:00,11/19/2025 16:00:00,11/20/2025 16:00:00,11/21/2025 16:00:00,11/24/2025 16:00:00,11/25/2025 16:00:00,11/26/2025 16:00:00,12/2/2025 16:00:00,12/3/2025 16:00:00,12/4/2025 16:00:00,12/5/2025 16:00:00
VMM,1.31,1.3,1.38,1.38,1.45,1.33,1.35,1.38,1.32,1.35,1.37,1.26,1.34,1.4,0.98,1.03,1.12,1.17,1.17
ULTRACEMCO,11910,11849,11728,11825,11921,11934,11874,11778,11707,11666,11753,11729,11584,11580,11759,11617,11600,11662,11666,11591,11608,11597
ESCORTS,3689.7,3629.2,3548.6,3614,3570.4,3608,3551.1,3623.4,3618.8,3584.4,3557.8,3617.5,3670.2,3637.6,3686.6,3847.8,3817.4,3844.2,3757.2,3800,3733.8,3710.9
IEX,166.82,167.96,168.8,169.51,169.57,167.06,164.49,162.76,161.68,161.68,163,170.65,169.91,173.65,173.76,173.93,174.64,175.1,178.21,179.03,177.54
UNOMINDA,1233.8,1229.7,1319.3,1311.1,1332.9,1303.2,1307.2,1299.9,1292.3,1305.1,1298,1281.4,1279.5,1285.3,1320.1,1312.4,1306.8,1309.1,1294.4,1266.9,1271.9,1272.4
SKFINDIA,2099.6,2077.8,2072.3,2052.3,2051.6,2047.9,2045,2061.3,1976.8,1975.6,1984.9,1960.2,1969.3,1947.6,1950.8,1938.5,1915.6,1946.7,1949.1,1940.5,1891.8,1878.3
ERIS,1585.4,1594.2,1591.8,1596.7,1575.2,1518.1,1550.4,1566.5,1575.7,1610.9,1669.6,1666,1684,1652.1,1616.6,1612.3,1595.4,1581.5,1569.7,1561.2,1559.9,1551.7
RAINBOW,1363.7,1373.5,1349.8,1355.1,1359.1,1355.7,1341.5,1308.2,1300.4,1341.2,1337.9,1330,1348.1,1347,1350.5,1356.7,1351.3,1329,1335.4,1348.1,1347.6,1350.9
DMART,4082.2,4011,4019,4072.2,4058,4062.5,4053.7,4036.2,3997.2,4026.5,4085,4038,3987.5,3988.6,4019.1,4007.1,3996.5,3963.3,3961.8,3909.7,3913.3,3952.1
KNRCON,179.02,180.2,179.3,177.59,176.84,170.18,168.21,172.63,170.38,168.19,166.78,163.89,164.09,162.62,163.97,162.24,160.2,161.82,158.56,150.74,149.11,149.03
EXIDEIND,379.85,377.35,379.1,377,380.4,379.7,381,382.7,381.5,380.9,380.8,375.35,363.45,361.85,365.15,368.35,374.8,380.15,378.45,372.65,380.35,380.15
